GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
ASSISTIVETECH_Q06,Workforce availability for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-an-adequate-number-of-trained-human-resources-for-assistive-technology-services-at-all-levels-of-health-and-social-service-delivery,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q06_05,Human resources for Self care,,No,,
ASSISTIVETECH_Q02,Coverage of people in need of assistive technology by legislation,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/coverage-of-people-in-need-of-assistive-technology-by-a-national-or-other-legislation%28s%29,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q02_04,People with difficulties in Mobility,,Yes,,
ASSISTIVETECH_Q05,Availability of government/registered services for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-government-or-registered-services-providing-assistive-technology,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q05_06,Services related to Vision,,Information not available,,
ASSISTIVETECH_Q07,Availability of education/training for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-education-or-training-covering-the-assessment-fitting-and-user-training-of-assistive-products,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q07_01,Training related to Cognition,,Yes,,
ASSISTIVETECH_Q01,Existence of legislation on access to assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-at-least-one-national-legislation-in-place-that-ensure-or-help-improve-access-to-assistive-technology-for-people-in-need,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q01_02,Legislation on health services (or similar),,Yes,,
ASSISTIVETECH_Q07,Availability of education/training for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-education-or-training-covering-the-assessment-fitting-and-user-training-of-assistive-products,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q07_02,Training related to Communication,,Yes,,
ASSISTIVETECH_Q05,Availability of government/registered services for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-government-or-registered-services-providing-assistive-technology,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q05_01,Services related to Cognition,,Information not available,,
ASSISTIVETECH_Q01,Existence of legislation on access to assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-at-least-one-national-legislation-in-place-that-ensure-or-help-improve-access-to-assistive-technology-for-people-in-need,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q01_06,Legislation on defense (or similar),,Yes,,
ASSISTIVETECH_Q04,Existence of responsible ministry/authority on assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-at-least-one-ministry-authority-responsible-for-ensuring-or-improving-access-to-assistive-technology,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q04_04,Labour (or similar),,Information not available,,
ASSISTIVETECH_Q10,Existence of initiatives/collaborations on assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/promotion-facilitation-support-or-investment-in-assistive-technology-related-areas-at-national-level,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q10_03,Product procurement,,Information not available,,
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-funding-for-the-provision-of-assistive-technology-in-the-latest-national-public-budgets,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_02,In the budget for health services (or similar),,Yes,,
ASSISTIVETECH_Q04,Existence of responsible ministry/authority on assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-at-least-one-ministry-authority-responsible-for-ensuring-or-improving-access-to-assistive-technology,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q04_03,Education (or similar),,Yes,,
