GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1954,1954,1954,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,219.39695,219.4 [198.5-243.6],198.46146,243.56024
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2001,2001,2001,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_BTSX,Both sexes,14.71919,14.7,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2000,2000,2000,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_BTSX,Both sexes,22.58422,22.6 [21.0-24.3],21.00225,24.31887
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2011,2011,2011,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,18.51187,18.5 [16.0-21.4],16.02701,21.39301
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_BTSX,Both sexes,44.7503,45,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,598.0,598 [428-865],428.0,865.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-100-000-population,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,4.16302,4.2 [3.0-5.5],3.03858,5.51672
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,EMR,Eastern Mediterranean,JOR,Jordan,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.59575,0.6,,
