GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
GDO_q5x1x3,Presence of formal agreement/joint plan for dementia care coordination,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/presence-of-formal-agreement-joint-plan-for-dementia-care-coordination,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q5x1x1_5,Identification of different sectors in dementia care coordination (Justice),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28justice%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q5x1x1_1,Identification of different sectors in dementia care coordination  (Health),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28health%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q8x3_4,"Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/accessibility-of-activities-of-daily-living-support-services-in-community-for-dementia-capital-capital-and-main-cities-capital-main-cities-rural-areas-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Capital and main cities only,,
GDO_q9x2_4,Estimated number of people with dementia living in residential long-term care,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people-with-dementia-living-in-residential-long-term-care,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not available,,
GDO_q4x3x4_2,Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-standards-guidelines-protocols-for-palliative-and-end-of-life-care-for-people-with-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q11x1,Existence of dementia national nongovernmental organization,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-dementia-national-nongovernmental-organization,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,,,,16.78623,16.8,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2006,2006,2006,EMR,Eastern Mediterranean,JOR,Jordan,,,,18.12017,18.1,,
GDO_q5x1x1_2,Identification of different sectors in dementia care coordination (Social),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28social%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2004,2004,2004,EMR,Eastern Mediterranean,JOR,Jordan,,,,17.74991,17.7,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,JOR,Jordan,,,,13.84312,13.8,,
GDO_q4x2_3,Existence of standards/ guidelines/ protocols for management of dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-standards-guidelines-protocols-for-management-of-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q4x2_4,Existence of standards/ guidelines/ protocols for other post-diagnostic supports of people with dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-standards-guidelines-protocols-for-other-post-diagnostic-supports-of-people-with-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q8x5_3,Estimated number of people receiving psychosocial and rehabilitation services in community for dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people-receiving-psychosocial-and-rehabilitation-services-in-community-for-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not available,,
GDO_q9_2,Care facilities [long-term care],https://www.who.int/data/gho/data/indicators/indicator-details/GHO/care-facilities-long-term-care-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2003,2003,2003,EMR,Eastern Mediterranean,JOR,Jordan,,,,18.05558,18.1,,
GDO_q8x4_4,"Majority provider of activities of daily living support services in community for dementia [public, private]",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/majority-provider-of-activities-of-daily-living-support-services-in-community-for-dementia-public-private-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Both,,
GDO_q4x2_2,Existence of standards/ guidelines/ protocols for diagnosis of dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-standards-guidelines-protocols-for-diagnosis-of-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q9x2_5,Estimated percentage of residential long-term care facilities following national dementia standards,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-percentage-of-residential-long-term-care-facilities-following-national-dementia-standards,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not available,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,17.85848,17.9,,
GDO_q9_3,Care facilities [hospice centres],https://www.who.int/data/gho/data/indicators/indicator-details/GHO/care-facilities-hospice-centres-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q8x5_5,Estimated number of people receiving palliative and end-of-life care services in community for dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people-receiving-palliative-and-end-of-life-care-services-in-community-for-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q4x2_5,Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-standards-guidelines-protocols-for-treatment-and-support-of-carers-and-families-of-people-with-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q8x4_2,"Majority provider of behaviour and psychological management in community for dementia [public, private]",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/majority-provider-of-behaviour-and-psychological-management-in-community-for-dementia-public-private-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Both,,
GDO_q8x1,Existence of community-based health or social care services for dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-community-based-health-or-social-care-services-for-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q5x1,Availability of mechanisms to coordinate dementia care across sectors,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-mechanisms-to-coordinate-dementia-care-across-sectors,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,15.70018,15.7,,
GDO_q11x2x1,Dementia nongovernmental organization equipped with office,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dementia-nongovernmental-organization-equipped-with-office-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q5x1x2,Implementation level [national/subnational] of dementia care coordination,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/implementation-level-national-subnational-of-dementia-care-coordination,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,National,,
GDO_q8x4_1,"Majority provider of diagnostic services in community for dementia [public, private]",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/majority-provider-of-diagnostic-services-in-community-for-dementia-public-private-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Both,,
GDO_q8x3_1,"Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/accessibility-of-diagnostic-services-in-community-for-dementia-capital-capital-and-main-cities-capital-main-cities-rural-areas-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Capital and main cities only,,
GDO_q5x1x1_3,Identification of different sectors in dementia care coordination (Education),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28education%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
GDO_q7x1_AVAIL,Availability of dementia diagnostic rate,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-dementia-diagnostic-rate,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not available,,
GDO_q5x1x1_8,Identification of different sectors in dementia care coordination (Private sector),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28private-sector%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
