GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
GDO_q16x3,Availability and status of dementia reporting in the past two years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-and-status-of-dementia-reporting-in-the-past-two-years,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,"No dementia data have been compiled in a report for policy, planning or management purposes in the last two years",,
GDO_q5x1x3,Presence of formal agreement/joint plan for dementia care coordination,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/presence-of-formal-agreement-joint-plan-for-dementia-care-coordination,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q5x1x1_5,Identification of different sectors in dementia care coordination (Justice),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28justice%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q3x2,Existence of other laws that apply to the rights of people with dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-other-laws-that-apply-to-the-rights-of-people-with-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q3x1x1_1,Implementation level [national/subnational] of dementia legislation,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/implementation-level-national-subnational-of-dementia-legislation,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q5x1x1_1,Identification of different sectors in dementia care coordination  (Health),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/identification-of-different-sectors-in-dementia-care-coordination-%28health%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q18x2x1_1,"Total expenditure on dementia research (local currency, self-report)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-expenditure-on-dementia-research-%28local-currency-self-report%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/majority-provider-of-respite-care-for-dementia-carers-%28private-sector%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
GDO_q12x2x5x3,Estimated number of dementia carers receiving financial benefits/social protection,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-dementia-carers-receiving-financial-benefits-social-protection,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q8x3_4,"Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/accessibility-of-activities-of-daily-living-support-services-in-community-for-dementia-capital-capital-and-main-cities-capital-main-cities-rural-areas-,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Capital and main cities only,,
GDO_q9x2_4,Estimated number of people with dementia living in residential long-term care,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people-with-dementia-living-in-residential-long-term-care,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not available,,
GDO_q4x3x4_2,Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-standards-guidelines-protocols-for-palliative-and-end-of-life-care-for-people-with-dementia,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
GDO_q11x1,Existence of dementia national nongovernmental organization,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-dementia-national-nongovernmental-organization,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/majority-provider-of-respite-care-for-dementia-carers-%28public-sector%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
GDO_q16x2_4,Availability of routine pharmaceutical records for people with dementia for monitoring purposes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-routine-pharmaceutical-records-for-people-with-dementia-for-monitoring-purposes,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
GDO_q3x1,Existence of dementia legislation,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-dementia-legislation,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
