GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/countries-that-have-passed-legislation-on-universal-health-coverage-%28uhc%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,53.05,53.05,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,,,,16.78623,16.8,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2006,2006,2006,EMR,Eastern Mediterranean,JOR,Jordan,,,,18.12017,18.1,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2004,2004,2004,EMR,Eastern Mediterranean,JOR,Jordan,,,,17.74991,17.7,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,46.95,46.95,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,34.81,34.81,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,JOR,Jordan,,,,13.84312,13.8,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2003,2003,2003,EMR,Eastern Mediterranean,JOR,Jordan,,,,18.05558,18.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),78.04,78.04,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.84,0.84,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,33.89,33.89,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),39.24,39.24,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,2.95,2.95,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,17.85848,17.9,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,55.71,55.71,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,60.18,60.18,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,15.70018,15.7,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,65.19,65.19,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,54.6,54.6,,
