GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,1998,1998,1998,EMR,Eastern Mediterranean,JOR,Jordan,,,,28.672,28.672,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2002,2002,2002,EMR,Eastern Mediterranean,JOR,Jordan,,,,13613.0,13 613,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2015,2015,2015,EMR,Eastern Mediterranean,JOR,Jordan,,,,6806.0,6806,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,29259.0,29 259,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,26775.0,26 775,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,6.737,6.737,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,1998,1998,1998,EMR,Eastern Mediterranean,JOR,Jordan,,,,10.092,10.092,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,16212.0,16 212,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2006,2006,2006,EMR,Eastern Mediterranean,JOR,Jordan,,,,18219.0,18 219,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,8.842,8.842,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2000,2000,2000,EMR,Eastern Mediterranean,JOR,Jordan,,,,14353.0,14 353,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,22.26,22.26,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,22.733,22.733,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2007,2007,2007,EMR,Eastern Mediterranean,JOR,Jordan,,,,1849.0,1849,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2002,2002,2002,EMR,Eastern Mediterranean,JOR,Jordan,,,,22.206,22.206,,
