GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis--diagnosis-coverage-of-chronic-hepatitis-%28hbv-and-hcv%29-as-a-percentage-of-infected,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,1.46351,1.46,,
HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,"Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis--diagnosis-coverage-of-chronic-hepatitis-%28hbv-and-hcv%29-as-a-percentage-of-infected,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,21.66603,21.67,,
HEPATITIS_HBV_DIAGNOSED_NUM,Chronic hepatitis B (HBV) infected persons diagnosed (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-infected-persons-diagnosed,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,2912.50847,2913,,
HEPATITIS_HCV_TREATMENT_INITIATED_NUM,Persons initiated chronic hepatitis C(HCV) treatment (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-persons-initiated-hepatitis-c-treatment--latest-year-and-cumulative-over-a-period-of-years,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,157.20097,157,,
HEPATITIS_HCV_DIAGNOSED_NUM,Chronic hepatitis C (HCV) infected persons diagnosed (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-infected-persons-diagnosed,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,3882.54393,3883,,
HEPATITIS_HCV_INFECTIONS_NEW_NUM,New chronic hepatitis C (HCV) infections (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---new-infections,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,574.80664,575,,
HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---chronic-hepatitis-treatment-rate-as-percentage-of-diagnosed,2022,2015,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,40.75067,40.75,,
HEPATITIS_HCV_DIAGNOSED_CRD_NUM,"Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-infected-persons-diagnosed,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,6335.03444,6335,,
HEPATITIS_HBV_DEATHS_NUM,Deaths caused by chronic hepatitis B (HBV) infection (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-deaths-caused-by-chronic-hepatitis,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,623.79468,624,,
HEPATITIS_HCV_PREVALENCE_PER100,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---prevalence-of-chronic-hepatitis-among-the-general-population,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.23383,0.23,,
