GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ORALHEALTH_SUGAR_AVAILABILITY,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_BTSX,Both sexes,82.0274,82.0,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,6.737,6.737,,
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/affordability-of-fluoride-toothpaste,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Unaffordable,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,8.842,8.842,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,6.957,6.957,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,8.211,8.211,,
ORALHEALTH_NCD_STAFF,Presence of dedicated staff for oral health working on NCDs at the MoH,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/presence-of-dedicated-staff-for-oral-health-working-on-ncds-at-the-moh,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-labour-days-needed-to-buy-annual-supply-of-fluoride-toothpaste-per-person,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,2.0536,2.1,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2008,2008,2008,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.68,7.68,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2003,2003,2003,EMR,Eastern Mediterranean,JOR,Jordan,,,,6.434,6.434,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2009,2009,2009,EMR,Eastern Mediterranean,JOR,Jordan,,,,6.464,6.464,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2007,2007,2007,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.555,7.555,,
ORALHEALTH_UNTREATEDCARIESDECIDUOUS,Prevalence of untreated caries of deciduous teeth in children 1-9 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-untreated-caries-of-deciduous-teeth-in-children-1-9-years,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,42.84508,42.8,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2001,2001,2001,EMR,Eastern Mediterranean,JOR,Jordan,,,,5.557,5.557,,
ORALHEALTH_EDENTULISM_PREVALENCE,Prevalence of edentulism in people 20+ years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-edentulism-in-people-20--years,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.26324,7.3,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.4,7.4,,
ORALHEALTH_UNTREATEDCARIESPERMANENT,Prevalence of untreated caries of permanent teeth in people 5+ years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-untreated-caries-of-permanent-teeth-in-people-5--years,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,38.50453,38.5,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,,,,6.795,6.795,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,1998,1998,1998,EMR,Eastern Mediterranean,JOR,Jordan,,,,5.163,5.163,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2002,2002,2002,EMR,Eastern Mediterranean,JOR,Jordan,,,,4.515,4.515,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,1999,1999,1999,EMR,Eastern Mediterranean,JOR,Jordan,,,,5.474,5.474,,
ORALHEALTH_SEVEREPERIODONTALDISEASE,Prevalence of severe periodontal disease in people 15+ year (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-severe-periodontal-disease-in-people-15--years,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,13.83234,13.8,,
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-productivity-losses-due-to-5-oral-diseases-in-million-%28us-dollar%29,2019,2019,2019,EMR,Eastern Mediterranean,JOR,Jordan,,,,120.1358,120.1,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2000,2000,2000,EMR,Eastern Mediterranean,JOR,Jordan,,,,5.706,5.706,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,JOR,Jordan,,,,700.0,700,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.948,7.948,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.386,7.386,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2004,2004,2004,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.181,7.181,,
ORALHEALTH_AVAILABILITY_RESTORATIVE,Oral health: Basic restorative dental procedures to treat existing dental decay,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/basic-restorative-dental-procedures-to-treat-existing-dental-decay,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Available,,
