GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
DEVICES10,Total density per million population: Positron Emission tomography,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-positron-emission-tomography,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.32,0.32,,
DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-computed-tomography-units,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,5.49919,5.5,,
DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-telecobalt-unit,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.27496,0.27,,
HRH_40,Biomedical engineers density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-engineers-density-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.66,0.66,,
HRH_40,Biomedical engineers density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-engineers-density-%28per-10-000-population%29,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.69,0.69,,
DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-magnetic-resonance-imaging,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,2.0622,2.06,,
DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-linear-accelerator,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.54992,0.55,,
DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-computed-tomography-units,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,,,,7.84083,7.84,,
HRH_45,Biomedical technicians density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-technicians-density-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,1.21,1.21,,
DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-females-aged-from-50-to-69-years-old-mammography-units,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,129.0731,129.07,,
DEVICES14,Use of nomenclature system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/use-of-nomenclature-system,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not specified,,
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-technical-specifications-of-medical-devices-to-support-procurement-or-donations,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,,"Yes, but not publically available",,
DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-radiotherapy-units,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.97,0.97,,
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/unit-in-the-ministry-of-health-responsible-for-the-management-of-medical-devices,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-guidelines-policies-or-recommendations-on-the-procurement-of-medical-devices,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-telecobalt-unit,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.32,0.32,,
DEVICES07,Types of lists recommending health technology for high burden diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/types-of-lists-recommending-health-technology-for-high-burden-diseases,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,No list available,,
DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-radiotherapy-units,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.82488,0.82,,
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/unit-in-the-ministry-of-health-responsible-for-the-management-of-medical-devices,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-standards-or-recommended-lists-of-medical-devices,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,,For different healthcare facilities,,
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-technical-specifications-of-medical-devices-to-support-procurement-or-donations,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,,,,,"Yes, but not publically available",,
