GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/recommendations-for-screening-and-brief-interventions-for-substance-use-in-antenatal-services,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,SUBSTANCETYPE,SUBSTANCETYPE_PRESCRIPTION_DRUGS,Prescription drugs,,No data,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-formulation-of-policies-and-strategies-for-treatment-of-substance-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDREP,RSUDREP_RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,No data,,
RSUD_420,Guidelines on pharmacological treatment for substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/guidelines-on-pharmacological-treatment-for-substance-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/programmes-readily-available,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,PROGRAMME,PROGRAMME_DROP_IN_SERVICES,"""Drop-in"" services",,No,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/main-sector-for-treatment-for-alcohol-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,PROGRAMME,PROGRAMME_OUT_PATIENT_TREATMENT,Out-patient treatment,,Public health sector,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/groups-and-agencies-involved-in-prevention-programs,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,GROUP,GROUP_ALCOHOL_BEVERAGE_INDUSTRY,Alcohol beverage industry,,No data,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/standards-of-care-for-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_NURSES_NOT_SPECIALIZED_IN_PSYCH,Nurses not specialized in psychiatry,,No data,,
RSUD_900,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-programmes-for-children-and-adolescents-with-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_THE_CAPITAL_CITY,In the capital city,,Yes,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-formulation-of-policies-and-strategies-for-prevention-for-alcohol-and-drugs,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDREP,RSUDREP_RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,No data,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-formulation-of-policies-and-strategies-for-treatment-of-substance-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDREP,RSUDREP_RSUDREP_DRUGUSER,Representatives of people who use drugs,,No data,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-treatment-of-substance-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDREP,RSUDREP_RSUDREP_NGO,Representatives of non-governmental organizations,,No data,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-specific-populations-for-drugs,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_REFUGEES,Refugees,,No data,,
RSUD_480,Registration of medications for alcohol dependence and withdrawal,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/registration-of-medications-for-alcohol-dependence-and-withdrawal,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,DRUG,DRUG_DISULFIRAM,Disulfiram,,No data,,
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_SOCIAL_WORKERS,Social workers,,Yes,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-treatment,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_NURSES,Nurses,,No data,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/standards-of-care-for-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_PSYCHIATRISTS,Psychiatrists,,Yes,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-treatment-of-substance-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDREP,RSUDREP_RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,No data,,
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_PSYCHOLOGISTS,Psychologists,,Yes,,
RSUD_860,System of monitoring drugs involvement in forensic pathology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/system-of-monitoring-drugs-involvement-in-forensic-pathology,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDMONITORING,RSUDMONITORING_FORENSIC_EXAMS,In forensic examinations (deaths),,No data,,
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_ADDICTION_COUNSELLORS,Addiction counsellors,,No data,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/main-sector-for-treatment-for-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,PROGRAMME,PROGRAMME_REHABILITATION,Rehabilitation,,Public health sector,,
RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financing-methods-for-treatment-for-drug-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,PROGRAMME,PROGRAMME_OUT_PATIENT_DETOXIFICATION,Out-patient detoxification,,Government financing,,
RSUD_240,Compulsory treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/compulsory-treatment-for-people-with-drug-use-disorders-in-the-criminal-justice-system,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDTREATMENT,RSUDTREATMENT_RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,Yes,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/groups-and-agencies-involved-in-prevention-programs,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,GROUP,GROUP_RELIGIOUS_GROUPS,Religious groups,,Yes,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-specific-populations-for-alcohol,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_REFUGEES,Refugees,,No data,,
RSUD_580,Prevention programmes for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-alcohol,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_MASS_MEDIA_AUDIOVISUAL,Mass media (audiovisual),,Yes,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-programmes-for-women-with-alcohol-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_MAJOR_CITIES,In other major cities,,No data,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-prevention,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDHWF,RSUDHWF_NURSES,Nurses,,No data,,
RSUD_140,Ministry/office that takes primary responsibility for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ministry-office-that-takes-primary-responsibility-for-treatment-of-substance-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,SUBSTANCETYPE,SUBSTANCETYPE_ALCOHOL,Alcohol,,Ministry of health,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/main-sector-for-treatment-for-alcohol-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,PROGRAMME,PROGRAMME_REHABILITATION,Rehabilitation,,Public health sector,,
RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/special-housing-services-for-alcohol-use-disorders,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_MAJOR_CITIES,In other major cities,,No,,
