GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
RS_229,Availability of funding for national road safety strategy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-funding-for-national-road-safety-strategy,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,−,,
RS_214,Existence of national speed limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-national-speed-limits,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/applicability-of-national-motorcycle-helmet-law-to-all-occupants,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,MOTOCYCLEOCCUPANTTYPE,MOTOCYCLEOCCUPANTTYPE_RS-DDC-DRIVERS,Drivers,,Yes,,
RS_217,Maximum speed limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/maximum-speed-limits,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,,120,,
RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/applicability-of-national-motorcycle-helmet-law-to-all-occupants,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,MOTOCYCLEOCCUPANTTYPE,MOTOCYCLEOCCUPANTTYPE_RS-DDC-ADULT-PASSAGER,Adult passengers,,Yes,,
RS_238,Existence of a universal access telephone number for pre-hospital care,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-universal-access-telephone-number-for-pre-hospital-care,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,"National, single number",,
RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/seat-belt-wearing-rate-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,SEATTYPE,SEATTYPE_RS-DDC-FRONTSEAT,Front seat,,,,
RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/seat-belt-wearing-rate-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,SEATTYPE,SEATTYPE_RS-DDC-DRIVERSONLY,Drivers only,,,,
RS_217,Maximum speed limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/maximum-speed-limits,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,,90,,
RS_210,Applicability of seat-belt law to all occupants,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/applicability-of-seat-belt-law-to-all-occupants,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No data,,
RS_205,Definition of drink-driving by BAC,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/definition-of-drink-driving-by-bac,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
RS_207,Blood Alcohol Concentration (BAC) limit for drivers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/blood-alcohol-concentration-%28bac%29-limit-for-drivers,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,DRIVERTYPE,DRIVERTYPE_RS-DRIVERTYPE-YOUNG,young/novice drivers,,<0.08 g/dl,,
RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/seat-belt-wearing-rate-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,SEATTYPE,SEATTYPE_RS-DDC-ALLOCCUPANTS,All occupants,,,,
RS_213,Existence of a national child-restraint law,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-national-child-restraint-law,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
RS_207,Blood Alcohol Concentration (BAC) limit for drivers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/blood-alcohol-concentration-%28bac%29-limit-for-drivers,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,DRIVERTYPE,DRIVERTYPE_RS-DRIVERTYPE-GENERAL,general population,,<0.08 g/dl,,
RS_223_BIS,Law requires helmet to be fastened,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/law-requires-helmet-to-be-fastened,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
RS_204,Existence of a national drink-driving law,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-national-drink-driving-law,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/applicability-of-national-motorcycle-helmet-law-to-all-occupants,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,MOTOCYCLEOCCUPANTTYPE,MOTOCYCLEOCCUPANTTYPE_RS-DDC-CHILD-PASSAGER,Child passengers,,Not restricted,,
RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/seat-belt-wearing-rate-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,SEATTYPE,SEATTYPE_RS-DDC-REARSEAT,Rear seat,,,,
RS_208,Attribution of road traffic deaths to alcohol (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/attribution-of-road-traffic-deaths-to-alcohol-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,–,,
RS_225,Existence of a road safety lead agency,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-road-safety-lead-agency,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
RS_228,Existence of a national road safety strategy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-national-road-safety-strategy,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
RS_209,Existence of a national seat-belt law,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-national-seat-belt-law,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
