GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-current-tobaccouse-tobaccosmoking-cigarrettesmoking-nonagestd-tobnonagestdcurr,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,54.3,54.3 [43.1-65.6],43.1,65.6
W4_pc_back_A,Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-cigarettes-w4-pc-back-a,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,40.0,40,,
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-survey-reporting-prevalence-of-tobacco-use-or-smoking-among-adolescents,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,33.9,33.9,,
W9_no_obscure_C,Health warnings on smokeless tobacco packaging must not be obscured in any way including by required markings such as tax stamps,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokeless-w9-no-obscure-c,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
W3_pc_front_A,Percentage of principal display area mandated to be covered by health warnings - front of cigarette packaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-cigarettes-w3-pc-front-a,2007,2007,2007,EMR,Eastern Mediterranean,JOR,Jordan,,,,30.0,30,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokedtobacco-w4-pc-back-b,2007,2007,2007,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-current-tobaccouse-tobaccosmoking-cigarrettesmoking-agestd-tobagestdcurr,2025,2025,2025,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_MLE,Male,58.4,58.4 [44.2-72.7],44.2,72.7
O_Avail_other,Treatment for tobacco dependence available in other settings,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-offerhelp-smoking-cessation-support-is-available-in-other-settings,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes in some,,
O_Avail_hosp,Treatment for tobacco dependence available in hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-offerhelp-smoking-cessation-support-is-available-in-hospitals,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes in some,,
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-current-tobaccouse-tobaccosmoking-cigarrettesmoking-agestd-tobagestdcurr,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_BTSX,Both sexes,33.1,33.1 [25.8-40.4],25.8,40.4
P14_funds_for_enforce,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-protect-legislation-dedicated-funds-for-enforcement,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
W7_rotation_A,Are the health warnings on cigarette packaging rotating?,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-cigarettes-w7-rotation-a,2008,2008,2008,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokedtobacco-w18-misleading-terms-b,2008,2008,2008,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-current-tobaccouse-tobaccosmoking-cigarrettesmoking-nonagestd-tobnonagestdcurr,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,SEX,SEX_BTSX,Both sexes,32.8,32.8 [24.7-40.8],24.7,40.8
W17_fines_C,Health warnings on smokeless tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokeless-w17-fines-c,2008,2008,2008,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
R_Group,Raising taxes on tobacco,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/raising-taxes-on-tobacco,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,5,,
W6_font_C,"Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokeless-w6-font-c,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Not applicable,,
W7_rotation_A,Are the health warnings on cigarette packaging rotating?,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-cigarettes-w7-rotation-a,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-protect-smoke-free-legislation-citizen-complaints-and-investigations-of-smoke-free-laws,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
W1_HW_law_B,Law mandates that health warnings appear on other smoked tobacco packages,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/law-mandates-that-health-warnings-appear-on-other-smoked-tobacco-packages,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokedtobacco-w21-emissions-quant-b,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokedtobacco-w20-flavours-b,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No,,
W1_HW_law_A,Law mandates that health warnings appear on tobacco packages,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-cigarettes-w1-hw-law-a,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
W14_harm_effects_B,Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health?,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-smokedtobacco-w14-harm-effects-b,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-warnings-antitobacco-campaigns-camp-gov-prog,2010,2010,2010,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Yes,,
