GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
WHS3_49,Poliomyelitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/poliomyelitis---number-of-reported-cases,2011,2011,2011,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,1974,1974,1974,EMR,Eastern Mediterranean,JOR,Jordan,,,,1165.0,1165,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1999,1999,1999,EMR,Eastern Mediterranean,JOR,Jordan,,,,3.0,3,,
WHS3_42,Japanese encephalitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/japanese-encephalitis---number-of-reported-cases,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_53,Mumps - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mumps---number-of-reported-cases,2008,2008,2008,EMR,Eastern Mediterranean,JOR,Jordan,,,,193.0,193,,
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,28.0,28,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,2004,2004,2004,EMR,Eastern Mediterranean,JOR,Jordan,,,,1.0,1,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,2009,2009,2009,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_55,Congenital Rubella Syndrome - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/congenital-rubella-syndrome---number-of-reported-cases,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_49,Poliomyelitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/poliomyelitis---number-of-reported-cases,2006,2006,2006,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1989,1989,1989,EMR,Eastern Mediterranean,JOR,Jordan,,,,11.0,11,,
WHS3_50,Yellow fever - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/yellow-fever---number-of-reported-cases,2003,2003,2003,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_53,Mumps - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mumps---number-of-reported-cases,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,2015,2015,2015,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_49,Poliomyelitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/poliomyelitis---number-of-reported-cases,2001,2001,2001,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1987,1987,1987,EMR,Eastern Mediterranean,JOR,Jordan,,,,9.0,9,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,2011,2011,2011,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_49,Poliomyelitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/poliomyelitis---number-of-reported-cases,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_50,Yellow fever - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/yellow-fever---number-of-reported-cases,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_56,Neonatal tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-tetanus---number-of-reported-cases,1985,1985,1985,EMR,Eastern Mediterranean,JOR,Jordan,,,,8.0,8,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1975,1975,1975,EMR,Eastern Mediterranean,JOR,Jordan,,,,40.0,40,,
WHS3_42,Japanese encephalitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/japanese-encephalitis---number-of-reported-cases,2020,2020,2020,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_56,Neonatal tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-tetanus---number-of-reported-cases,1978,1978,1978,EMR,Eastern Mediterranean,JOR,Jordan,,,,18.0,18,,
WHS3_56,Neonatal tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-tetanus---number-of-reported-cases,1977,1977,1977,EMR,Eastern Mediterranean,JOR,Jordan,,,,38.0,38,,
WHS3_50,Yellow fever - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/yellow-fever---number-of-reported-cases,2000,2000,2000,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_49,Poliomyelitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/poliomyelitis---number-of-reported-cases,2003,2003,2003,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,1984,1984,1984,EMR,Eastern Mediterranean,JOR,Jordan,,,,2592.0,2592,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1985,1985,1985,EMR,Eastern Mediterranean,JOR,Jordan,,,,11.0,11,,
WHS3_50,Yellow fever - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/yellow-fever---number-of-reported-cases,2020,2020,2020,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,1980,1980,1980,EMR,Eastern Mediterranean,JOR,Jordan,,,,552.0,552,,
WHS3_53,Mumps - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mumps---number-of-reported-cases,1999,1999,1999,EMR,Eastern Mediterranean,JOR,Jordan,,,,11612.0,11612,,
WHS3_50,Yellow fever - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/yellow-fever---number-of-reported-cases,2002,2002,2002,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
WHS3_46,Total tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-tetanus---number-of-reported-cases,1997,1997,1997,EMR,Eastern Mediterranean,JOR,Jordan,,,,2.0,2,,
WHS3_62,Measles - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/measles---number-of-reported-cases,2001,2001,2001,EMR,Eastern Mediterranean,JOR,Jordan,,,,61.0,61,,
WHS3_53,Mumps - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mumps---number-of-reported-cases,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,168.0,168,,
