GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,85.71292,86,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,84.40559,84,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2004,2004,2004,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,83.43362,83,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2020,2020,2020,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.39534,0,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2011,2011,2011,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,98.02879,98,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,81.53004,82,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.11041,0,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,98.40641,98,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,83.49462,83,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2011,2011,2011,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,83.85991,84,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,97.78685,98,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2020,2020,2020,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,95.36107,95,,
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2022 US$ millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/amount-of-water--and-sanitation-related-official-development-assistance-that-is-part-of-a-government-coordinated-spending-plan,2015,2015,2015,EMR,Eastern Mediterranean,JOR,Jordan,,,,380.8209,380.8,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2003,2003,2003,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,53.50227,54,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2021,2021,2021,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,95.36107,95,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,72.63322,73,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2006,2006,2006,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,83.55558,84,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2007,2007,2007,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.03938,0,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.10397,0,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,97.14489,97,,
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2012,2012,2012,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,80.35841,80,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,97.39147,97,,
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-drinking-water-services-%28-%29,2020,2020,2020,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,85.71684,86,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2013,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.05722,0,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2002,2002,2002,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.23828,0,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.07209,0,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,97.64909,98,,
WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-practising-open-defecation-%28-%29,2005,2005,2005,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.90922,1,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2008,2008,2008,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,98.27096,98,,
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-sanitation-services-%28-%29,2018,2018,2018,EMR,Eastern Mediterranean,JOR,Jordan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,97.30632,97,,
